Accomack County, Richard M Nixon, Republican, 71.97
Albemarle County, Richard M Nixon, Republican, 65.22
Alleghany County, Richard M Nixon, Republican, 67.47
Amelia County, Richard M Nixon, Republican, 64.99
Amherst County, Richard M Nixon, Republican, 73.94
Appomattox County, Richard M Nixon, Republican, 78.2
Arlington County, Richard M Nixon, Republican, 59.36
Augusta County, Richard M Nixon, Republican, 81.44
Bath County, Richard M Nixon, Republican, 68.89
Bedford County, Richard M Nixon, Republican, 73.43
Bland County, Richard M Nixon, Republican, 70.64
Botetourt County, Richard M Nixon, Republican, 69.44
Brunswick County, Richard M Nixon, Republican, 58.17
Buchanan County, Richard M Nixon, Republican, 56.13
Buckingham County, Richard M Nixon, Republican, 62.86
Campbell County, Richard M Nixon, Republican, 82.48
Caroline County, Richard M Nixon, Republican, 52.8
Carroll County, Richard M Nixon, Republican, 75.08
Charles City County, George McGovern, Democrat, 67.84
Charlotte County, Richard M Nixon, Republican, 66.22
Chesterfield County, Richard M Nixon, Republican, 85.24
Clarke County, Richard M Nixon, Republican, 69.13
Craig County, Richard M Nixon, Republican, 63.44
Culpeper County, Richard M Nixon, Republican, 72.8
Cumberland County, Richard M Nixon, Republican, 57.75
Dickenson County, Richard M Nixon, Republican, 56.22
Dinwiddie County, Richard M Nixon, Republican, 62.47
Essex County, Richard M Nixon, Republican, 62.58
Fairfax County, Richard M Nixon, Republican, 66.26
Fauquier County, Richard M Nixon, Republican, 67.71
Floyd County, Richard M Nixon, Republican, 76.11
Fluvanna County, Richard M Nixon, Republican, 67.29
Franklin County, Richard M Nixon, Republican, 65.74
Frederick County, Richard M Nixon, Republican, 75.18
Giles County, Richard M Nixon, Republican, 64.34
Gloucester County, Richard M Nixon, Republican, 71.92
Goochland County, Richard M Nixon, Republican, 60.98
Grayson County, Richard M Nixon, Republican, 67.48
Greene County, Richard M Nixon, Republican, 78.24
Greensville County, Richard M Nixon, Republican, 56.05
Halifax County, Richard M Nixon, Republican, 68.71
Hanover County, Richard M Nixon, Republican, 81.2
Henrico County, Richard M Nixon, Republican, 84.87
Henry County, Richard M Nixon, Republican, 62.84
Highland County, Richard M Nixon, Republican, 77.63
Isle of Wight County, Richard M Nixon, Republican, 59.27
James City County, Richard M Nixon, Republican, 61.97
King and Queen County, Richard M Nixon, Republican, 58.3
King George County, Richard M Nixon, Republican, 70.05
King William County, Richard M Nixon, Republican, 69.14
Lancaster County, Richard M Nixon, Republican, 71.64
Lee County, Richard M Nixon, Republican, 62.39
Loudoun County, Richard M Nixon, Republican, 69.46
Louisa County, Richard M Nixon, Republican, 63.55
Lunenburg County, Richard M Nixon, Republican, 69.14
Madison County, Richard M Nixon, Republican, 73.41
Mathews County, Richard M Nixon, Republican, 72.45
Mecklenburg County, Richard M Nixon, Republican, 68.55
Middlesex County, Richard M Nixon, Republican, 69.29
Montgomery County, Richard M Nixon, Republican, 70.56
Nelson County, Richard M Nixon, Republican, 67.22
New Kent County, Richard M Nixon, Republican, 67.52
Northampton County, Richard M Nixon, Republican, 66.45
