Accomack County, Bill Clinton, Democrat, 44.79
Albemarle County, Bob Dole, Republican, 48.81
Alleghany County, Bill Clinton, Democrat, 47.26
Amelia County, Bob Dole, Republican, 51.13
Amherst County, Bob Dole, Republican, 46.63
Appomattox County, Bob Dole, Republican, 47.93
Arlington County, Bill Clinton, Democrat, 60.46
Augusta County, Bob Dole, Republican, 60.89
Bath County, Bill Clinton, Democrat, 44.95
Bedford County, Bob Dole, Republican, 54.07
Bland County, Bob Dole, Republican, 46
Botetourt County, Bob Dole, Republican, 51.73
Brunswick County, Bill Clinton, Democrat, 58.16
Buchanan County, Bill Clinton, Democrat, 63.4
Buckingham County, Bill Clinton, Democrat, 48.95
Campbell County, Bob Dole, Republican, 54.35
Caroline County, Bill Clinton, Democrat, 53.49
Carroll County, Bob Dole, Republican, 51.04
Charles City County, Bill Clinton, Democrat, 66.09
Charlotte County, Bob Dole, Republican, 45.58
Chesterfield County, Bob Dole, Republican, 60.71
Clarke County, Bob Dole, Republican, 48.17
Craig County, Bob Dole, Republican, 45.35
Culpeper County, Bob Dole, Republican, 53.9
Cumberland County, Bob Dole, Republican, 48.4
Dickenson County, Bill Clinton, Democrat, 56.97
Dinwiddie County, Bill Clinton, Democrat, 47.4
Essex County, Bill Clinton, Democrat, 47.21
Fairfax County, Bob Dole, Republican, 48.19
Fauquier County, Bob Dole, Republican, 57.45
Floyd County, Bob Dole, Republican, 48.07
Fluvanna County, Bob Dole, Republican, 51.66
Franklin County, Bob Dole, Republican, 43.46
Frederick County, Bob Dole, Republican, 57.61
Giles County, Bill Clinton, Democrat, 47.52
Gloucester County, Bob Dole, Republican, 51.2
Goochland County, Bob Dole, Republican, 55.47
Grayson County, Bob Dole, Republican, 46.92
Greene County, Bob Dole, Republican, 55.29
Greensville County, Bill Clinton, Democrat, 61.96
Halifax County, Bob Dole, Republican, 49.07
Hanover County, Bob Dole, Republican, 63.6
Henrico County, Bob Dole, Republican, 53.37
Henry County, Bob Dole, Republican, 43.64
Highland County, Bob Dole, Republican, 51.68
Isle of Wight County, Bob Dole, Republican, 47.64
James City County, Bob Dole, Republican, 54.45
King and Queen County, Bill Clinton, Democrat, 50.54
King George County, Bob Dole, Republican, 53.62
King William County, Bob Dole, Republican, 52.49
Lancaster County, Bob Dole, Republican, 55.36
Lee County, Bill Clinton, Democrat, 51.65
Loudoun County, Bob Dole, Republican, 52.13
Louisa County, Bob Dole, Republican, 45.27
Lunenburg County, Bob Dole, Republican, 46.26
Madison County, Bob Dole, Republican, 50.91
Mathews County, Bob Dole, Republican, 51.78
Mecklenburg County, Bob Dole, Republican, 48
Middlesex County, Bob Dole, Republican, 49.83
Montgomery County, Bill Clinton, Democrat, 44.72
Nelson County, Bill Clinton, Democrat, 52.85
New Kent County, Bob Dole, Republican, 54.15
Northampton County, Bill Clinton, Democrat, 51.92
Northumberland County, Bob Dole, Republican, 51.81
Nottoway County, Bob Dole, Republican, 46.34
Orange County, Bob Dole, Republican, 49.79
Page County, Bob Dole, Republican, 51.83
Patrick County, Bob Dole, Republican, 52.39
Pittsylvania County, Bob Dole, Republican, 55.85
Powhatan County, Bob Dole, Republican, 61.22
Prince Edward County, Bill Clinton, Democrat, 47.16
Prince George County, Bob Dole, Republican, 54.86
Prince William County, Bob Dole, Republican, 50.09
Pulaski County, Bob Dole, Republican, 43.78
Rappahannock County, Bob Dole, Republican, 47.31
Richmond County, Bob Dole, Republican, 50.91
Roanoke County, Bob Dole, Republican, 52.51
Rockbridge County, Bob Dole, Republican, 44.98
Rockingham County, Bob Dole, Republican, 64.66
Russell County, Bill Clinton, Democrat, 53.68
Scott County, Bob Dole, Republican, 47.66
Shenandoah County, Bob Dole, Republican, 56.02
Smyth County, Bill Clinton, Democrat, 42.95
Southampton County, Bill Clinton, Democrat, 51.44
Spotsylvania County, Bob Dole, Republican, 52.62
Stafford County, Bob Dole, Republican, 54.04
Surry County, Bill Clinton, Democrat, 59.67
Sussex County, Bill Clinton, Democrat, 55.09
Tazewell County, Bill Clinton, Democrat, 48.58
Warren County, Bob Dole, Republican, 48.25
Washington County, Bob Dole, Republican, 50.07
Westmoreland County, Bill Clinton, Democrat, 50.95
Wise County, Bill Clinton, Democrat, 51.27
Wythe County, Bob Dole, Republican, 49.99
York County, Bob Dole, Republican, 54.95
Alexandria City, Bill Clinton, Democrat, 61.6
Bedford City, Bill Clinton, Democrat, 46.08
Bristol City, Bob Dole, Republican, 49.5
Buena Vista City, Bill Clinton, Democrat, 52.99
Charlottesville City, Bill Clinton, Democrat, 61.9
Chesapeake City, Bob Dole, Republican, 46.66
Clifton Forge City, Bill Clinton, Democrat, 59.35
Colonial Heights City, Bob Dole, Republican, 66.62
Covington City, Bill Clinton, Democrat, 56.83
Danville City, Bob Dole, Republican, 49.97
Emporia City, Bill Clinton, Democrat, 53.7
Fairfax City, Bob Dole, Republican, 49.39
Falls Church City, Bill Clinton, Democrat, 55.44
Franklin City, Bill Clinton, Democrat, 57.96
Fredericksburg City, Bill Clinton, Democrat, 52.16
Galax City, Bill Clinton, Democrat, 47.36
Hampton City, Bill Clinton, Democrat, 55.03
Harrisonburg City, Bob Dole, Republican, 55.33
Hopewell City, Bob Dole, Republican, 49.46
Lexington City, Bill Clinton, Democrat, 51.78
Lynchburg City, Bob Dole, Republican, 49.72
Manassas City, Bob Dole, Republican, 52.91
Manassas Park City, Bob Dole, Republican, 49.84
Martinsville City, Bill Clinton, Democrat, 50.34
Newport News City, Bill Clinton, Democrat, 50.98
Norfolk City, Bill Clinton, Democrat, 62.63
Norton City, Bill Clinton, Democrat, 58.03
Petersburg City, Bill Clinton, Democrat, 74.43
Poquoson City, Bob Dole, Republican, 64.86
Portsmouth City, Bill Clinton, Democrat, 62.55
Radford City, Bill Clinton, Democrat, 49.33
Richmond City, Bill Clinton, Democrat, 63.02
Roanoke City, Bill Clinton, Democrat, 53.98
Salem City, Bob Dole, Republican, 48.97
Staunton City, Bob Dole, Republican, 53.66
Suffolk City, Bill Clinton, Democrat, 52.17
Virginia Beach City, Bob Dole, Republican, 50.61
Waynesboro City, Bob Dole, Republican, 52.71
Williamsburg City, Bill Clinton, Democrat, 50.67
Winchester City, Bob Dole, Republican, 50.97
