Albany,6019,67.31%,2923,32.69%,3096,34.62%,8942,,,,
Big Horn,2690,50.21%,2668,49.79%,22,0.42%,5358,,,,
Campbell,1196,42.68%,1606,57.32%,-410,-14.64%,2802,,,,
Carbon,4322,66.68%,2160,33.32%,2162,33.36%,6482,,,,
Converse,1250,44.50%,1559,55.50%,-309,-11.00%,2809,,,,
Crook,780,39.12%,1214,60.88%,-434,-21.76%,1994,,,,
Fremont,5985,55.45%,4809,44.55%,1176,10.90%,10794,,,,
Goshen,2749,51.35%,2604,48.65%,145,2.70%,5353,,,,
Hot Springs,1380,52.91%,1228,47.09%,152,5.82%,2608,,,,
Johnson,852,34.19%,1640,65.81%,-788,-31.62%,2492,,,,
Laramie,16059,65.22%,8563,34.78%,7496,30.44%,24622,,,,
Lincoln,2273,55.66%,1811,44.34%,462,11.32%,4084,,,,
Natrona,11167,52.42%,10135,47.58%,1032,4.84%,21302,,,,
Niobrara,843,42.90%,1122,57.10%,-279,-14.20%,1965,,,,
Park,3745,50.32%,3698,49.68%,47,0.64%,7443,,,,
Platte,1890,56.25%,1470,43.75%,420,12.50%,3360,,,,
Sheridan,4747,51.39%,4491,48.61%,256,2.78%,9238,,,,
Sublette,791,46.78%,900,53.22%,-109,-6.44%,1691,,,,
Sweetwater,5969,75.43%,1944,24.57%,4025,50.86%,7913,,,,
Teton,968,47.24%,1081,52.76%,-113,-5.52%,2049,,,,
Uinta,1929,61.93%,1186,38.07%,743,23.86%,3115,,,,
Washakie,1695,49.74%,1713,50.26%,-18,-0.52%,3408,,,,
Weston,1419,49.07%,1473,50.93%,-54,-1.86%,2892,,,,
