Accomack County, Al Smith, Democrat, 57.15
Albemarle County, Al Smith, Democrat, 64.94
Alleghany County, Herbert Hoover, Republican, 72.53
Amelia County, Al Smith, Democrat, 64.18
Amherst County, Al Smith, Democrat, 75.89
Appomattox County, Al Smith, Democrat, 66.34
Arlington County, Herbert Hoover, Republican, 74.41
Augusta County, Herbert Hoover, Republican, 63.82
Bath County, Herbert Hoover, Republican, 63.9
Bedford County, Al Smith, Democrat, 56.05
Bland County, Herbert Hoover, Republican, 58.92
Botetourt County, Herbert Hoover, Republican, 56.7
Brunswick County, Al Smith, Democrat, 78.94
Buchanan County, Al Smith, Democrat, 50.42
Buckingham County, Al Smith, Democrat, 50.85
Campbell County, Al Smith, Democrat, 54.45
Caroline County, Al Smith, Democrat, 49.92
Carroll County, Herbert Hoover, Republican, 68.51
Charles City County, Herbert Hoover, Republican, 66.35
Charlotte County, Al Smith, Democrat, 73.35
Chesterfield County, Herbert Hoover, Republican, 54.89
Clarke County, Al Smith, Democrat, 74.82
Craig County, Al Smith, Democrat, 51.91
Culpeper County, Al Smith, Democrat, 52.58
Cumberland County, Al Smith, Democrat, 67.07
Dickenson County, Al Smith, Democrat, 50.05
Dinwiddie County, Al Smith, Democrat, 73.83
Elizabeth City County, Herbert Hoover, Republican, 57.78
Essex County, Al Smith, Democrat, 62.21
Fairfax County, Herbert Hoover, Republican, 66.98
Fauquier County, Al Smith, Democrat, 61.09
Floyd County, Herbert Hoover, Republican, 77.34
Fluvanna County, Al Smith, Democrat, 57.46
Franklin County, Al Smith, Democrat, 54.83
Frederick County, Al Smith, Democrat, 53
Giles County, Herbert Hoover, Republican, 50.23
Gloucester County, Herbert Hoover, Republican, 51.12
Goochland County, Al Smith, Democrat, 57.16
Grayson County, Herbert Hoover, Republican, 61.25
Greene County, Herbert Hoover, Republican, 61.93
Greensville County, Al Smith, Democrat, 61.86
Halifax County, Al Smith, Democrat, 71.31
Hanover County, Al Smith, Democrat, 58.4
Henrico County, Herbert Hoover, Republican, 57.87
Henry County, Al Smith, Democrat, 52.59
Highland County, Herbert Hoover, Republican, 62.36
Isle of Wight County, Herbert Hoover, Republican, 51.1
James City County, Herbert Hoover, Republican, 50.12
King and Queen County, Herbert Hoover, Republican, 52.9
King George County, Herbert Hoover, Republican, 57.04
King William County, Al Smith, Democrat, 56.41
Lancaster County, Herbert Hoover, Republican, 62.28
Lee County, Herbert Hoover, Republican, 58.23
Loudoun County, Al Smith, Democrat, 59.03
Louisa County, Herbert Hoover, Republican, 51.23
Lunenburg County, Al Smith, Democrat, 79.25
Madison County, Herbert Hoover, Republican, 56.97
Mathews County, Herbert Hoover, Republican, 66.43
Mecklenburg County, Al Smith, Democrat, 69.06
