Accomack County, Franklin D Roosevelt, Democrat, 62.5
Albemarle County, Franklin D Roosevelt, Democrat, 63.87
Alleghany County, Franklin D Roosevelt, Democrat, 60.15
Amelia County, Franklin D Roosevelt, Democrat, 64.98
Amherst County, Franklin D Roosevelt, Democrat, 85.06
Appomattox County, Franklin D Roosevelt, Democrat, 80.07
Arlington County, Thomas E Dewey, Republican, 53.66
Augusta County, Franklin D Roosevelt, Democrat, 55.52
Bath County, Franklin D Roosevelt, Democrat, 53.35
Bedford County, Franklin D Roosevelt, Democrat, 70.23
Bland County, Franklin D Roosevelt, Democrat, 50.6
Botetourt County, Franklin D Roosevelt, Democrat, 49.77
Brunswick County, Franklin D Roosevelt, Democrat, 85.63
Buchanan County, Franklin D Roosevelt, Democrat, 58.81
Buckingham County, Franklin D Roosevelt, Democrat, 71.44
Campbell County, Franklin D Roosevelt, Democrat, 75.77
Caroline County, Franklin D Roosevelt, Democrat, 72.18
Carroll County, Thomas E Dewey, Republican, 63.07
Charles City County, Franklin D Roosevelt, Democrat, 70.11
Charlotte County, Franklin D Roosevelt, Democrat, 80.49
Chesterfield County, Franklin D Roosevelt, Democrat, 75.82
Clarke County, Franklin D Roosevelt, Democrat, 66.02
Craig County, Franklin D Roosevelt, Democrat, 63.23
Culpeper County, Franklin D Roosevelt, Democrat, 57.64
Cumberland County, Franklin D Roosevelt, Democrat, 67.59
Dickenson County, Franklin D Roosevelt, Democrat, 61.18
Dinwiddie County, Franklin D Roosevelt, Democrat, 79.59
Elizabeth City County, Franklin D Roosevelt, Democrat, 69.2
Essex County, Franklin D Roosevelt, Democrat, 73.73
Fairfax County, Thomas E Dewey, Republican, 52.81
Fauquier County, Franklin D Roosevelt, Democrat, 65.86
Floyd County, Thomas E Dewey, Republican, 69.06
Fluvanna County, Franklin D Roosevelt, Democrat, 66.32
Franklin County, Franklin D Roosevelt, Democrat, 62.1
Frederick County, Franklin D Roosevelt, Democrat, 56.26
Giles County, Franklin D Roosevelt, Democrat, 58.52
Gloucester County, Franklin D Roosevelt, Democrat, 69.24
Goochland County, Franklin D Roosevelt, Democrat, 74.7
Grayson County, Thomas E Dewey, Republican, 55.77
Greene County, Thomas E Dewey, Republican, 58.14
Greensville County, Franklin D Roosevelt, Democrat, 77.12
Halifax County, Franklin D Roosevelt, Democrat, 86.59
Hanover County, Franklin D Roosevelt, Democrat, 71.72
Henrico County, Franklin D Roosevelt, Democrat, 70.56
Henry County, Franklin D Roosevelt, Democrat, 67.75
Highland County, Thomas E Dewey, Republican, 54.51
Isle of Wight County, Franklin D Roosevelt, Democrat, 73.26
James City County, Franklin D Roosevelt, Democrat, 66.32
King and Queen County, Franklin D Roosevelt, Democrat, 68.62
King George County, Franklin D Roosevelt, Democrat, 50.43
King William County, Franklin D Roosevelt, Democrat, 71.94
Lancaster County, Franklin D Roosevelt, Democrat, 62.77
Lee County, Franklin D Roosevelt, Democrat, 53.22
Loudoun County, Franklin D Roosevelt, Democrat, 54.71
Louisa County, Franklin D Roosevelt, Democrat, 59.16
Lunenburg County, Franklin D Roosevelt, Democrat, 86.5
Madison County, Thomas E Dewey, Republican, 56.79
Mathews County, Franklin D Roosevelt, Democrat, 55.56
Mecklenburg County, Franklin D Roosevelt, Democrat, 85.62
Middlesex County, Franklin D Roosevelt, Democrat, 76.84
Montgomery County, Thomas E Dewey, Republican, 53.67
Nansemond County, Franklin D Roosevelt, Democrat, 79.93
Nelson County, Franklin D Roosevelt, Democrat, 76.42
New Kent County, Franklin D Roosevelt, Democrat, 67.56
Norfolk County, Franklin D Roosevelt, Democrat, 77.98
Northampton County, Franklin D Roosevelt, Democrat, 74.21
Northumberland County, Franklin D Roosevelt, Democrat, 56.92
Nottoway County, Franklin D Roosevelt, Democrat, 75.28
Orange County, Franklin D Roosevelt, Democrat, 63.24
Page County, Thomas E Dewey, Republican, 60.79
Patrick County, Franklin D Roosevelt, Democrat, 65.98
Pittsylvania County, Franklin D Roosevelt, Democrat, 73.92
Powhatan County, Franklin D Roosevelt, Democrat, 66.43
Prince Edward County, Franklin D Roosevelt, Democrat, 71.25
Prince George County, Franklin D Roosevelt, Democrat, 72.5
Prince William County, Franklin D Roosevelt, Democrat, 63.57
Princess Anne County, Franklin D Roosevelt, Democrat, 66.34
Pulaski County, Franklin D Roosevelt, Democrat, 62.32
Rappahannock County, Franklin D Roosevelt, Democrat, 62.36
Richmond County, Franklin D Roosevelt, Democrat, 51.93
Roanoke County, Franklin D Roosevelt, Democrat, 51.71
Rockbridge County, Franklin D Roosevelt, Democrat, 62.81
Rockingham County, Thomas E Dewey, Republican, 63.61
Russell County, Franklin D Roosevelt, Democrat, 55.05
Scott County, Thomas E Dewey, Republican, 51.63
Shenandoah County, Thomas E Dewey, Republican, 64.12
Smyth County, Thomas E Dewey, Republican, 54.53
Southampton County, Franklin D Roosevelt, Democrat, 84.38
Spotsylvania County, Franklin D Roosevelt, Democrat, 59.47
Stafford County, Thomas E Dewey, Republican, 50.35
Surry County, Franklin D Roosevelt, Democrat, 82.92
Sussex County, Franklin D Roosevelt, Democrat, 78.88
Tazewell County, Franklin D Roosevelt, Democrat, 55.23
Warren County, Franklin D Roosevelt, Democrat, 57.51
Warwick County, Franklin D Roosevelt, Democrat, 69.49
Washington County, Franklin D Roosevelt, Democrat, 50.3
Westmoreland County, Franklin D Roosevelt, Democrat, 60.12
Wise County, Franklin D Roosevelt, Democrat, 71.46
Wythe County, Thomas E Dewey, Republican, 55.43
York County, Franklin D Roosevelt, Democrat, 69.34
Alexandria City, Franklin D Roosevelt, Democrat, 56.13
Bristol City, Franklin D Roosevelt, Democrat, 71.02
Buena Vista City, Franklin D Roosevelt, Democrat, 69.07
Charlottesville City, Franklin D Roosevelt, Democrat, 67.22
Clifton Forge City, Franklin D Roosevelt, Democrat, 72.04
Danville City, Franklin D Roosevelt, Democrat, 71.48
Fredericksburg City, Franklin D Roosevelt, Democrat, 60.9
Hampton City, Franklin D Roosevelt, Democrat, 76.69
Harrisonburg City, Thomas E Dewey, Republican, 50.04
