Appling	601	90.38%	64	9.62%	0	0.00%	0	0.00%	0	0.00%	537	80.75%	665
Atkinson	747	94.20%	41	5.17%	3	0.38%	2	0.25%	0	0.00%	706	89.03%	793
Bacon	515	97.54%	11	2.08%	2	0.38%	0	0.00%	0	0.00%	504	95.45%	528
Baker	647	99.23%	2	0.31%	3	0.46%	0	0.00%	0	0.00%	644[a]	98.77%	652
Baldwin	801	93.79%	45	5.27%	4	0.47%	4	0.47%	0	0.00%	756	88.52%	854
Banks	1,283	94.27%	58	4.26%	20	1.47%	0	0.00%	0	0.00%	1,225	90.01%	1,361
Barrow	1,111	97.03%	23	2.01%	9	0.79%	2	0.17%	0	0.00%	1,088	95.02%	1,145
Bartow	1,546	92.19%	121	7.22%	9	0.54%	1	0.06%	0	0.00%	1,425	84.97%	1,677
Ben Hill	1,026	91.94%	85	7.62%	5	0.45%	0	0.00%	0	0.00%	941	84.32%	1,116
Berrien	1,447	97.44%	19	1.28%	19	1.28%	0	0.00%	0	0.00%	1,428	96.16%	1,485
Bibb	4,372	90.93%	405	8.42%	22	0.46%	8	0.17%	1	0.02%	3,967	82.51%	4,808
Bleckley	1,338	97.24%	37	2.69%	0	0.00%	1	0.07%	0	0.00%	1,301	94.55%	1,376
Brantley	693	96.65%	22	3.07%	2	0.28%	0	0.00%	0	0.00%	671	93.58%	717
Brooks	1,426	94.69%	75	4.98%	5	0.33%	0	0.00%	0	0.00%	1,351	89.71%	1,506
Bryan	353	94.64%	17	4.56%	3	0.80%	0	0.00%	0	0.00%	336	90.08%	373
Bulloch	2,203	98.74%	17	0.76%	9	0.40%	2	0.09%	0	0.00%	2,186	97.98%	2,231
Burke	498	95.40%	18	3.45%	6	1.15%	0	0.00%	0	0.00%	480	91.95%	522
Butts	1,693	98.14%	21	1.22%	11	0.64%	0	0.00%	0	0.00%	1,672	96.93%	1,725
Calhoun	483	97.18%	10	2.01%	4	0.80%	0	0.00%	0	0.00%	473	95.17%	497
Camden	417	88.91%	49	10.45%	3	0.64%	0	0.00%	0	0.00%	368	78.46%	469
Candler	476	97.14%	13	2.65%	1	0.20%	0	0.00%	0	0.00%	463	94.49%	490
Carroll	3,232	91.14%	284	8.01%	30	0.85%	0	0.00%	0	0.00%	2,948	83.14%	3,546
Catoosa	985	88.18%	123	11.01%	5	0.45%	4	0.36%	0	0.00%	862	77.17%	1,117
Charlton	330	90.91%	32	8.82%	1	0.28%	0	0.00%	0	0.00%	298	82.09%	363
Chatham	8,020	82.31%	1,669	17.13%	13	0.13%	39	0.40%	3	0.03%	6,351	65.18%	9,744
Chattahoochee	186	99.47%	1	0.53%	0	0.00%	0	0.00%	0	0.00%	185	98.93%	187
Chattooga	2,200	91.25%	188	7.80%	22	0.91%	1	0.04%	0	0.00%	2,012	83.45%	2,411
Cherokee	1,727	83.88%	314	15.25%	14	0.68%	3	0.15%	1	0.05%	1,413	68.63%	2,059
Clarke	1,992	92.05%	159	7.35%	4	0.18%	9	0.42%	0	0.00%	1,833	84.70%	2,164
