Accomack County, Dwight D Eisenhower, Republican, 54.25
Albemarle County, Dwight D Eisenhower, Republican, 57.18
Alleghany County, Dwight D Eisenhower, Republican, 55.26
Amelia County, Dwight D Eisenhower, Republican, 43.11
Amherst County, Adlai Stevenson, Democrat, 53.84
Appomattox County, Adlai Stevenson, Democrat, 51.73
Arlington County, Dwight D Eisenhower, Republican, 55.05
Augusta County, Dwight D Eisenhower, Republican, 68.07
Bath County, Dwight D Eisenhower, Republican, 58.47
Bedford County, Dwight D Eisenhower, Republican, 52.07
Bland County, Dwight D Eisenhower, Republican, 57.16
Botetourt County, Dwight D Eisenhower, Republican, 60.67
Brunswick County, Adlai Stevenson, Democrat, 42.94
Buchanan County, Adlai Stevenson, Democrat, 52.94
Buckingham County, Dwight D Eisenhower, Republican, 43.64
Campbell County, Dwight D Eisenhower, Republican, 47.79
Caroline County, Dwight D Eisenhower, Republican, 46.06
Carroll County, Dwight D Eisenhower, Republican, 69.66
Charles City County, Dwight D Eisenhower, Republican, 72.08
Charlotte County, Adlai Stevenson, Democrat, 50.41
Chesterfield County, Dwight D Eisenhower, Republican, 53.12
Clarke County, Dwight D Eisenhower, Republican, 48.91
Craig County, Adlai Stevenson, Democrat, 50.45
Culpeper County, Dwight D Eisenhower, Republican, 56.44
Cumberland County, Dwight D Eisenhower, Republican, 42.91
Dickenson County, Adlai Stevenson, Democrat, 51.66
Dinwiddie County, Adlai Stevenson, Democrat, 48.78
Essex County, Dwight D Eisenhower, Republican, 55.48
Fairfax County, Dwight D Eisenhower, Republican, 55.71
Fauquier County, Dwight D Eisenhower, Republican, 55.55
Floyd County, Dwight D Eisenhower, Republican, 70.46
Fluvanna County, Dwight D Eisenhower, Republican, 53.85
Franklin County, Adlai Stevenson, Democrat, 49.2
Frederick County, Dwight D Eisenhower, Republican, 56.01
Giles County, Dwight D Eisenhower, Republican, 51.84
Gloucester County, Dwight D Eisenhower, Republican, 57.95
Goochland County, Dwight D Eisenhower, Republican, 50.1
Grayson County, Dwight D Eisenhower, Republican, 62.18
Greene County, Dwight D Eisenhower, Republican, 63.49
Greensville County, Adlai Stevenson, Democrat, 39.92
Halifax County, Adlai Stevenson, Democrat, 42.59
Hanover County, Dwight D Eisenhower, Republican, 54.07
Henrico County, Dwight D Eisenhower, Republican, 60.2
Henry County, Adlai Stevenson, Democrat, 50.61
Highland County, Dwight D Eisenhower, Republican, 58.02
Isle of Wight County, Adlai Stevenson, Democrat, 48.02
James City County, Dwight D Eisenhower, Republican, 62.54
King and Queen County, Dwight D Eisenhower, Republican, 54.64
King George County, Dwight D Eisenhower, Republican, 51.7
King William County, Dwight D Eisenhower, Republican, 62.16
Lancaster County, Dwight D Eisenhower, Republican, 70.66
Lee County, Dwight D Eisenhower, Republican, 54.77
Loudoun County, Dwight D Eisenhower, Republican, 53.41
Louisa County, Dwight D Eisenhower, Republican, 47.43
Lunenburg County, Adlai Stevenson, Democrat, 47.5
Madison County, Dwight D Eisenhower, Republican, 56.86
Mathews County, Dwight D Eisenhower, Republican, 65.42
Mecklenburg County, Adlai Stevenson, Democrat, 45.2
Middlesex County, Dwight D Eisenhower, Republican, 58
Montgomery County, Dwight D Eisenhower, Republican, 70.1
Nansemond County, Adlai Stevenson, Democrat, 57.16
Nelson County, Adlai Stevenson, Democrat, 59.15
New Kent County, Dwight D Eisenhower, Republican, 57.95
Norfolk County, Adlai Stevenson, Democrat, 55.18
Northampton County, Dwight D Eisenhower, Republican, 51.03
Northumberland County, Dwight D Eisenhower, Republican, 62.68
Nottoway County, Adlai Stevenson, Democrat, 37.31
Orange County, Dwight D Eisenhower, Republican, 53.55
Page County, Dwight D Eisenhower, Republican, 62.73
Patrick County, Adlai Stevenson, Democrat, 54.77
Pittsylvania County, Adlai Stevenson, Democrat, 53.07
Powhatan County, Dwight D Eisenhower, Republican, 54.08
Prince Edward County, T Coleman Andrews, Dixiecrat, 53.56
Prince George County, Dwight D Eisenhower, Republican, 46.24
Princess Anne County, Dwight D Eisenhower, Republican, 50.52
Prince William County, Dwight D Eisenhower, Republican, 50.96
Pulaski County, Dwight D Eisenhower, Republican, 63.05
Rappahannock County, Adlai Stevenson, Democrat, 48.65
Richmond County, Dwight D Eisenhower, Republican, 67.89
Roanoke County, Dwight D Eisenhower, Republican, 69.83
Rockbridge County, Dwight D Eisenhower, Republican, 66.5
Rockingham County, Dwight D Eisenhower, Republican, 71.74
Russell County, Adlai Stevenson, Democrat, 50.4
Scott County, Dwight D Eisenhower, Republican, 58.44
Shenandoah County, Dwight D Eisenhower, Republican, 69.18
Smyth County, Dwight D Eisenhower, Republican, 66.23
Southampton County, Adlai Stevenson, Democrat, 55.79
Spotsylvania County, Dwight D Eisenhower, Republican, 51.94
Stafford County, Dwight D Eisenhower, Republican, 58.94
Surry County, Adlai Stevenson, Democrat, 47.13
Sussex County, Adlai Stevenson, Democrat, 42.61
Tazewell County, Dwight D Eisenhower, Republican, 52.55
Warren County, Dwight D Eisenhower, Republican, 58.83
Washington County, Dwight D Eisenhower, Republican, 56.38
