Accomack County, Franklin D Roosevelt, Democrat, 62.38
Albemarle County, Franklin D Roosevelt, Democrat, 67.05
Alleghany County, Franklin D Roosevelt, Democrat, 64.67
Amelia County, Franklin D Roosevelt, Democrat, 67.63
Amherst County, Franklin D Roosevelt, Democrat, 87.26
Appomattox County, Franklin D Roosevelt, Democrat, 83.93
Arlington County, Franklin D Roosevelt, Democrat, 55.16
Augusta County, Franklin D Roosevelt, Democrat, 60.78
Bath County, Franklin D Roosevelt, Democrat, 54.17
Bedford County, Franklin D Roosevelt, Democrat, 75.9
Bland County, Franklin D Roosevelt, Democrat, 51.97
Botetourt County, Franklin D Roosevelt, Democrat, 54.87
Brunswick County, Franklin D Roosevelt, Democrat, 88.46
Buchanan County, Franklin D Roosevelt, Democrat, 66.37
Buckingham County, Franklin D Roosevelt, Democrat, 73.82
Campbell County, Franklin D Roosevelt, Democrat, 83.65
Caroline County, Franklin D Roosevelt, Democrat, 78.51
Carroll County, Wendell Willkie, Republican, 54.19
Charles City County, Franklin D Roosevelt, Democrat, 72.12
Charlotte County, Franklin D Roosevelt, Democrat, 85.24
Chesterfield County, Franklin D Roosevelt, Democrat, 78.71
Clarke County, Franklin D Roosevelt, Democrat, 75.58
Craig County, Franklin D Roosevelt, Democrat, 68.55
Culpeper County, Franklin D Roosevelt, Democrat, 67.34
Cumberland County, Franklin D Roosevelt, Democrat, 70.84
Dickenson County, Franklin D Roosevelt, Democrat, 58.74
Dinwiddie County, Franklin D Roosevelt, Democrat, 80.64
Elizabeth City County, Franklin D Roosevelt, Democrat, 77.9
Essex County, Franklin D Roosevelt, Democrat, 78.93
Fairfax County, Franklin D Roosevelt, Democrat, 57.65
Fauquier County, Franklin D Roosevelt, Democrat, 71.07
Floyd County, Wendell Willkie, Republican, 66.94
Fluvanna County, Franklin D Roosevelt, Democrat, 70.52
Franklin County, Franklin D Roosevelt, Democrat, 68.63
Frederick County, Franklin D Roosevelt, Democrat, 67.79
Giles County, Franklin D Roosevelt, Democrat, 62.54
Gloucester County, Franklin D Roosevelt, Democrat, 79.41
Goochland County, Franklin D Roosevelt, Democrat, 81.67
Grayson County, Wendell Willkie, Republican, 50.78
Greene County, Franklin D Roosevelt, Democrat, 56.28
Greensville County, Franklin D Roosevelt, Democrat, 84.38
Halifax County, Franklin D Roosevelt, Democrat, 89.94
Hanover County, Franklin D Roosevelt, Democrat, 78.36
Henrico County, Franklin D Roosevelt, Democrat, 66.25
Henry County, Franklin D Roosevelt, Democrat, 78.73
Highland County, Wendell Willkie, Republican, 53.13
Isle of Wight County, Franklin D Roosevelt, Democrat, 84.55
James City County, Franklin D Roosevelt, Democrat, 67.4
King and Queen County, Franklin D Roosevelt, Democrat, 74.49
King George County, Franklin D Roosevelt, Democrat, 75.4
King William County, Franklin D Roosevelt, Democrat, 74.79
Lancaster County, Franklin D Roosevelt, Democrat, 68.63
Lee County, Franklin D Roosevelt, Democrat, 61.39
Loudoun County, Franklin D Roosevelt, Democrat, 66.73
Louisa County, Franklin D Roosevelt, Democrat, 60.46
Lunenburg County, Franklin D Roosevelt, Democrat, 89.26
Madison County, Franklin D Roosevelt, Democrat, 51.56
Mathews County, Franklin D Roosevelt, Democrat, 62.51
Mecklenburg County, Franklin D Roosevelt, Democrat, 88.54
Middlesex County, Franklin D Roosevelt, Democrat, 82.19
Montgomery County, Franklin D Roosevelt, Democrat, 53.2
Nansemond County, Franklin D Roosevelt, Democrat, 91.55
Nelson County, Franklin D Roosevelt, Democrat, 79.4
New Kent County, Franklin D Roosevelt, Democrat, 68.26
Norfolk County, Franklin D Roosevelt, Democrat, 85.39
Northampton County, Franklin D Roosevelt, Democrat, 70.52
Northumberland County, Franklin D Roosevelt, Democrat, 64.61
Nottoway County, Franklin D Roosevelt, Democrat, 77.06
Orange County, Franklin D Roosevelt, Democrat, 72.94
Page County, Wendell Willkie, Republican, 50.36
Patrick County, Franklin D Roosevelt, Democrat, 73.99
Pittsylvania County, Franklin D Roosevelt, Democrat, 83.28
Powhatan County, Franklin D Roosevelt, Democrat, 76.23
Prince Edward County, Franklin D Roosevelt, Democrat, 77.35
Prince George County, Franklin D Roosevelt, Democrat, 82.81
Prince William County, Franklin D Roosevelt, Democrat, 73.97
Princess Anne County, Franklin D Roosevelt, Democrat, 79.04
Pulaski County, Franklin D Roosevelt, Democrat, 68.39
Rappahannock County, Franklin D Roosevelt, Democrat, 72.06
Richmond County, Franklin D Roosevelt, Democrat, 64.1
Roanoke County, Franklin D Roosevelt, Democrat, 60.11
Rockbridge County, Franklin D Roosevelt, Democrat, 63.83
Rockingham County, Wendell Willkie, Republican, 52.71
Russell County, Franklin D Roosevelt, Democrat, 59.79
Scott County, Wendell Willkie, Republican, 54.58
Shenandoah County, Wendell Willkie, Republican, 58.87
Smyth County, Franklin D Roosevelt, Democrat, 52.95
Southampton County, Franklin D Roosevelt, Democrat, 87.02
Spotsylvania County, Franklin D Roosevelt, Democrat, 68.02
Stafford County, Franklin D Roosevelt, Democrat, 63.28
Surry County, Franklin D Roosevelt, Democrat, 84.58
Sussex County, Franklin D Roosevelt, Democrat, 81.62
Tazewell County, Franklin D Roosevelt, Democrat, 56.8
Warren County, Franklin D Roosevelt, Democrat, 73
Warwick County, Franklin D Roosevelt, Democrat, 77.57
Washington County, Franklin D Roosevelt, Democrat, 54.3
Westmoreland County, Franklin D Roosevelt, Democrat, 70.24
Wise County, Franklin D Roosevelt, Democrat, 75.66
Wythe County, Franklin D Roosevelt, Democrat, 52.72
York County, Franklin D Roosevelt, Democrat, 80.31
Alexandria City, Franklin D Roosevelt, Democrat, 68.67
Bristol City, Franklin D Roosevelt, Democrat, 76.94
Buena Vista City, Franklin D Roosevelt, Democrat, 70.89
Charlottesville City, Franklin D Roosevelt, Democrat, 69.94
Clifton Forge City, Franklin D Roosevelt, Democrat, 76.41
Danville City, Franklin D Roosevelt, Democrat, 80.27
Fredericksburg City, Franklin D Roosevelt, Democrat, 66.26
Hampton City, Franklin D Roosevelt, Democrat, 81.66
Harrisonburg City, Franklin D Roosevelt, Democrat, 58.93
Hopewell City, Franklin D Roosevelt, Democrat, 76.05
Lynchburg City, Franklin D Roosevelt, Democrat, 70.22
Martinsville City, Franklin D Roosevelt, Democrat, 78.15
Newport News City, Franklin D Roosevelt, Democrat, 81.41
Norfolk City, Franklin D Roosevelt, Democrat, 75.38
Petersburg City, Franklin D Roosevelt, Democrat, 77.9
Portsmouth City, Franklin D Roosevelt, Democrat, 87.83
Radford City, Franklin D Roosevelt, Democrat, 65.21
Richmond City, Franklin D Roosevelt, Democrat, 75.99
Roanoke City, Franklin D Roosevelt, Democrat, 65.85
South Norfolk City, Franklin D Roosevelt, Democrat, 85.5
Staunton City, Franklin D Roosevelt, Democrat, 59.75
Suffolk City, Franklin D Roosevelt, Democrat, 76.03
Williamsburg City, Franklin D Roosevelt, Democrat, 67.84
Winchester City, Franklin D Roosevelt, Democrat, 53.89
