Appling, George C Wallace, Dixiecrat, 63.26
Banks, George C Wallace, Dixiecrat, 67.39
Ben Hill, George C Wallace, Dixiecrat, 54.38
Berrien, George C Wallace, Dixiecrat, 73.41
Bibb, George C Wallace, Dixiecrat, 41.86
Brantley, George C Wallace, Dixiecrat, 75.52
Clarke, Richard M Nixon, Republican, 39.17
Clay, George C Wallace, Dixiecrat, 48.33
Clayton, George C Wallace, Dixiecrat, 49.77
Clinch, George C Wallace, Dixiecrat, 64.16
Coweta, George C Wallace, Dixiecrat, 50.97
Dodge, George C Wallace, Dixiecrat, 59.85
Douglas, George C Wallace, Dixiecrat, 57.37
Floyd, George C Wallace, Dixiecrat, 46.49
Forsyth, George C Wallace, Dixiecrat, 54.07
Gilmer, Richard M Nixon, Republican, 51.55
Gordon, George C Wallace, Dixiecrat, 50.83
Habersham, George C Wallace, Dixiecrat, 52.87
Heard, George C Wallace, Dixiecrat, 63.63
Irwin, George C Wallace, Dixiecrat, 68.36
Jackson, George C Wallace, Dixiecrat, 56.48
Jenkins, George C Wallace, Dixiecrat, 49.43
Liberty, Hubert H Humphrey, Democrat, 44.55
McIntosh, Hubert H Humphrey, Democrat, 44.93
Marion, George C Wallace, Dixiecrat, 66.22
Monroe, George C Wallace, Dixiecrat, 44.16
Newton, George C Wallace, Dixiecrat, 45.2
Oconee, George C Wallace, Dixiecrat, 55.49
Randolph, George C Wallace, Dixiecrat, 48.45
Rockdale, George C Wallace, Dixiecrat, 47.91
Spalding, George C Wallace, Dixiecrat, 45.11
Thomas, George C Wallace, Dixiecrat, 50.98
Tift, George C Wallace, Dixiecrat, 57.79
Walton, George C Wallace, Dixiecrat, 57.83
Whitfield, Richard M Nixon, Republican, 41.95
Wilcox, George C Wallace, Dixiecrat, 68.29
