Accomack County, George C Wallace, Dixiecrat, 37.69
Albemarle County, Richard M Nixon, Republican, 53.45
Alleghany County, Richard M Nixon, Republican, 43.47
Amelia County, Richard M Nixon, Republican, 33.9
Amherst County, Richard M Nixon, Republican, 39.8
Appomattox County, Richard M Nixon, Republican, 43.42
Arlington County, Richard M Nixon, Republican, 45.92
Augusta County, Richard M Nixon, Republican, 57.92
Bath County, Richard M Nixon, Republican, 45.97
Bedford County, George C Wallace, Dixiecrat, 42.3
Bland County, Richard M Nixon, Republican, 50.38
Botetourt County, Richard M Nixon, Republican, 50.54
Brunswick County, George C Wallace, Dixiecrat, 40.57
Buchanan County, Hubert H Humphrey, Democrat, 50.97
Buckingham County, George C Wallace, Dixiecrat, 36.99
Campbell County, Richard M Nixon, Republican, 44.73
Caroline County, Hubert H Humphrey, Democrat, 48.92
Carroll County, Richard M Nixon, Republican, 64.16
Charles City County, Hubert H Humphrey, Democrat, 74.34
Charlotte County, George C Wallace, Dixiecrat, 50.72
Chesterfield County, Richard M Nixon, Republican, 56.03
Clarke County, Richard M Nixon, Republican, 42.62
Craig County, Richard M Nixon, Republican, 46.18
Culpeper County, Richard M Nixon, Republican, 47.49
Cumberland County, Hubert H Humphrey, Democrat, 40.21
Dickenson County, Richard M Nixon, Republican, 46.01
Dinwiddie County, George C Wallace, Dixiecrat, 42.7
Essex County, Hubert H Humphrey, Democrat, 41.45
Fairfax County, Richard M Nixon, Republican, 48.98
Fauquier County, Richard M Nixon, Republican, 43.76
Floyd County, Richard M Nixon, Republican, 64.32
Fluvanna County, Richard M Nixon, Republican, 42.56
Franklin County, George C Wallace, Dixiecrat, 38.75
Frederick County, Richard M Nixon, Republican, 49.58
Giles County, Richard M Nixon, Republican, 43.36
Gloucester County, Richard M Nixon, Republican, 37.1
Goochland County, Hubert H Humphrey, Democrat, 40.13
Grayson County, Richard M Nixon, Republican, 54.09
Greene County, Richard M Nixon, Republican, 55.26
Greensville County, Hubert H Humphrey, Democrat, 43.19
Halifax County, George C Wallace, Dixiecrat, 46.53
Hanover County, Richard M Nixon, Republican, 50.01
Henrico County, Richard M Nixon, Republican, 62.52
Henry County, George C Wallace, Dixiecrat, 44.68
Highland County, Richard M Nixon, Republican, 57.9
Isle of Wight County, George C Wallace, Dixiecrat, 41.31
James City County, Hubert H Humphrey, Democrat, 37.42
King and Queen County, Hubert H Humphrey, Democrat, 42.55
King George County, Richard M Nixon, Republican, 37.77
King William County, Richard M Nixon, Republican, 43.03
Lancaster County, Richard M Nixon, Republican, 44.93
Lee County, Richard M Nixon, Republican, 47.35
Loudoun County, Richard M Nixon, Republican, 45.91
Louisa County, Richard M Nixon, Republican, 38.09
Lunenburg County, George C Wallace, Dixiecrat, 40.63
Madison County, Richard M Nixon, Republican, 48.71
Mathews County, Richard M Nixon, Republican, 47.14
Mecklenburg County, George C Wallace, Dixiecrat, 42.44
Middlesex County, Richard M Nixon, Republican, 39.62
