Accomack County, Ronald Reagan, Republican, 64.55
Albemarle County, Ronald Reagan, Republican, 64.16
Alleghany County, Ronald Reagan, Republican, 60.89
Amelia County, Ronald Reagan, Republican, 61.41
Amherst County, Ronald Reagan, Republican, 66.51
Appomattox County, Ronald Reagan, Republican, 68.65
Arlington County, Walter Mondale, Democrat, 51.26
Augusta County, Ronald Reagan, Republican, 79.22
Bath County, Ronald Reagan, Republican, 65.93
Bedford County, Ronald Reagan, Republican, 68.15
Bland County, Ronald Reagan, Republican, 67.29
Botetourt County, Ronald Reagan, Republican, 64.15
Brunswick County, Walter Mondale, Democrat, 50.06
Buchanan County, Walter Mondale, Democrat, 59.97
Buckingham County, Ronald Reagan, Republican, 57.36
Campbell County, Ronald Reagan, Republican, 74.69
Caroline County, Walter Mondale, Democrat, 50.68
Carroll County, Ronald Reagan, Republican, 70.26
Charles City County, Walter Mondale, Democrat, 68.73
Charlotte County, Ronald Reagan, Republican, 61.76
Chesterfield County, Ronald Reagan, Republican, 79.78
Clarke County, Ronald Reagan, Republican, 67.21
Craig County, Ronald Reagan, Republican, 57.7
Culpeper County, Ronald Reagan, Republican, 70.6
Cumberland County, Ronald Reagan, Republican, 60.89
Dickenson County, Walter Mondale, Democrat, 54.82
Dinwiddie County, Ronald Reagan, Republican, 56.04
Essex County, Ronald Reagan, Republican, 61.63
Fairfax County, Ronald Reagan, Republican, 62.88
Fauquier County, Ronald Reagan, Republican, 71.41
Floyd County, Ronald Reagan, Republican, 67.69
Fluvanna County, Ronald Reagan, Republican, 62.21
Franklin County, Ronald Reagan, Republican, 60.21
Frederick County, Ronald Reagan, Republican, 77.79
Giles County, Ronald Reagan, Republican, 58.18
Gloucester County, Ronald Reagan, Republican, 70.91
Goochland County, Ronald Reagan, Republican, 60.6
Grayson County, Ronald Reagan, Republican, 65.43
Greene County, Ronald Reagan, Republican, 73.87
Greensville County, Walter Mondale, Democrat, 49.29
Halifax County, Ronald Reagan, Republican, 60.58
Hanover County, Ronald Reagan, Republican, 79.26
Henrico County, Ronald Reagan, Republican, 74.74
Henry County, Ronald Reagan, Republican, 63.76
Highland County, Ronald Reagan, Republican, 70.91
Isle of Wight County, Ronald Reagan, Republican, 60.18
James City County, Ronald Reagan, Republican, 66.54
King and Queen County, Ronald Reagan, Republican, 54.39
King George County, Ronald Reagan, Republican, 61.34
King William County, Ronald Reagan, Republican, 65.43
Lancaster County, Ronald Reagan, Republican, 67.72
Lee County, Ronald Reagan, Republican, 50.83
Loudoun County, Ronald Reagan, Republican, 67.99
Louisa County, Ronald Reagan, Republican, 57.91
Lunenburg County, Ronald Reagan, Republican, 59.94
Madison County, Ronald Reagan, Republican, 67.15
Mathews County, Ronald Reagan, Republican, 71.61
Mecklenburg County, Ronald Reagan, Republican, 65.69
Middlesex County, Ronald Reagan, Republican, 67.23
Montgomery County, Ronald Reagan, Republican, 62.88
Nelson County, Ronald Reagan, Republican, 57.22
New Kent County, Ronald Reagan, Republican, 68.71
Northampton County, Ronald Reagan, Republican, 55.81
Northumberland County, Ronald Reagan, Republican, 68.41
Nottoway County, Ronald Reagan, Republican, 59
Orange County, Ronald Reagan, Republican, 65.72
Page County, Ronald Reagan, Republican, 66.78
Patrick County, Ronald Reagan, Republican, 70.47
Pittsylvania County, Ronald Reagan, Republican, 66.08
Powhatan County, Ronald Reagan, Republican, 73.61
Prince Edward County, Ronald Reagan, Republican, 56.11
Prince George County, Ronald Reagan, Republican, 69.64
Prince William County, Ronald Reagan, Republican, 68.88
Pulaski County, Ronald Reagan, Republican, 64.9
Rappahannock County, Ronald Reagan, Republican, 62.65
Richmond County, Ronald Reagan, Republican, 68.46
Roanoke County, Ronald Reagan, Republican, 68.56
Rockbridge County, Ronald Reagan, Republican, 65.66
Rockingham County, Ronald Reagan, Republican, 75.7
Russell County, Walter Mondale, Democrat, 53.66
Scott County, Ronald Reagan, Republican, 59.1
Shenandoah County, Ronald Reagan, Republican, 76.03
Smyth County, Ronald Reagan, Republican, 67.08
Southampton County, Ronald Reagan, Republican, 57.99
Spotsylvania County, Ronald Reagan, Republican, 66.74
Stafford County, Ronald Reagan, Republican, 69.63
Surry County, Walter Mondale, Democrat, 55.64
Sussex County, Walter Mondale, Democrat, 50.9
Tazewell County, Ronald Reagan, Republican, 53.89
Warren County, Ronald Reagan, Republican, 65.73
Washington County, Ronald Reagan, Republican, 68.06
Westmoreland County, Ronald Reagan, Republican, 56.84
Wise County, Ronald Reagan, Republican, 51.36
Wythe County, Ronald Reagan, Republican, 68.65
York County, Ronald Reagan, Republican, 71.24
Alexandria City, Walter Mondale, Democrat, 52.05
Bedford City, Ronald Reagan, Republican, 60.36
Bristol City, Ronald Reagan, Republican, 67.11
Buena Vista City, Ronald Reagan, Republican, 64.4
Charlottesville City, Walter Mondale, Democrat, 51.15
Chesapeake City, Ronald Reagan, Republican, 61.64
Clifton Forge City, Ronald Reagan, Republican, 51.44
Colonial Heights City, Ronald Reagan, Republican, 83.71
Covington City, Ronald Reagan, Republican, 54.46
Danville City, Ronald Reagan, Republican, 66.85
Emporia City, Ronald Reagan, Republican, 60.25
Fairfax City, Ronald Reagan, Republican, 65.36
Falls Church City, Ronald Reagan, Republican, 52.62
Franklin City, Ronald Reagan, Republican, 49.87
Fredericksburg City, Ronald Reagan, Republican, 58.6
Galax City, Ronald Reagan, Republican, 65.18
Hampton City, Ronald Reagan, Republican, 57.95
Harrisonburg City, Ronald Reagan, Republican, 68.15
Hopewell City, Ronald Reagan, Republican, 68.27
Lexington City, Ronald Reagan, Republican, 55.34
Lynchburg City, Ronald Reagan, Republican, 67.41
Manassas City, Ronald Reagan, Republican, 71.34
Manassas Park City, Ronald Reagan, Republican, 71.96
Martinsville City, Ronald Reagan, Republican, 58.37
Newport News City, Ronald Reagan, Republican, 60.35
Norfolk City, Walter Mondale, Democrat, 51.53
Norton City, Walter Mondale, Democrat, 50.48
Petersburg City, Walter Mondale, Democrat, 61.35
Poquoson City, Ronald Reagan, Republican, 84.73
Portsmouth City, Walter Mondale, Democrat, 53
Radford City, Ronald Reagan, Republican, 61.15
Richmond City, Walter Mondale, Democrat, 55.75
Roanoke City, Ronald Reagan, Republican, 52.09
Salem City, Ronald Reagan, Republican, 65.43
South Boston City, Ronald Reagan, Republican, 65.64
Staunton City, Ronald Reagan, Republican, 74.88
Suffolk City, Ronald Reagan, Republican, 52.97
Virginia Beach City, Ronald Reagan, Republican, 74.36
Waynesboro City, Ronald Reagan, Republican, 73.45
Williamsburg City, Ronald Reagan, Republican, 56.23
Winchester City, Ronald Reagan, Republican, 70.68
