Accomack County, John F Kennedy, Democrat, 51.68
Albemarle County, Richard M Nixon, Republican, 59.47
Alleghany County, John F Kennedy, Democrat, 50.84
Amelia County, Richard M Nixon, Republican, 51.44
Amherst County, John F Kennedy, Democrat, 60.85
Appomattox County, John F Kennedy, Democrat, 56.16
Arlington County, Richard M Nixon, Republican, 51.4
Augusta County, Richard M Nixon, Republican, 67.36
Bath County, Richard M Nixon, Republican, 50.59
Bedford County, John F Kennedy, Democrat, 51.8
Bland County, Richard M Nixon, Republican, 50.75
Botetourt County, Richard M Nixon, Republican, 56.79
Brunswick County, John F Kennedy, Democrat, 66.23
Buchanan County, John F Kennedy, Democrat, 60.76
Buckingham County, John F Kennedy, Democrat, 54.93
Campbell County, John F Kennedy, Democrat, 50.75
Caroline County, John F Kennedy, Democrat, 62.65
Carroll County, Richard M Nixon, Republican, 66.29
Charles City County, John F Kennedy, Democrat, 64.63
Charlotte County, John F Kennedy, Democrat, 65.84
Chesterfield County, Richard M Nixon, Republican, 61.71
Clarke County, John F Kennedy, Democrat, 53.17
Craig County, John F Kennedy, Democrat, 55.22
Culpeper County, Richard M Nixon, Republican, 54.86
Cumberland County, Richard M Nixon, Republican, 54.75
Dickenson County, John F Kennedy, Democrat, 55.56
Dinwiddie County, John F Kennedy, Democrat, 63.81
Essex County, Richard M Nixon, Republican, 54.25
Fairfax County, Richard M Nixon, Republican, 51.65
Fauquier County, Richard M Nixon, Republican, 51.86
Floyd County, Richard M Nixon, Republican, 70.06
Fluvanna County, Richard M Nixon, Republican, 54.89
Franklin County, John F Kennedy, Democrat, 58.29
Frederick County, Richard M Nixon, Republican, 53.74
Giles County, John F Kennedy, Democrat, 51.17
Gloucester County, Richard M Nixon, Republican, 50
Goochland County, John F Kennedy, Democrat, 49.29
Grayson County, Richard M Nixon, Republican, 58.65
Greene County, Richard M Nixon, Republican, 64.24
Greensville County, John F Kennedy, Democrat, 60.59
Halifax County, John F Kennedy, Democrat, 59.36
Hanover County, Richard M Nixon, Republican, 59.39
Henrico County, Richard M Nixon, Republican, 66.52
Henry County, John F Kennedy, Democrat, 58.59
Highland County, Richard M Nixon, Republican, 56.55
Isle of Wight County, John F Kennedy, Democrat, 63.58
James City County, Richard M Nixon, Republican, 50.49
King and Queen County, John F Kennedy, Democrat, 54.53
King George County, John F Kennedy, Democrat, 50.85
King William County, Richard M Nixon, Republican, 51.19
Lancaster County, Richard M Nixon, Republican, 59.56
Lee County, John F Kennedy, Democrat, 53.23
Loudoun County, Richard M Nixon, Republican, 50.99
Louisa County, John F Kennedy, Democrat, 50.61
Lunenburg County, John F Kennedy, Democrat, 60.99
Madison County, Richard M Nixon, Republican, 60.38
Mathews County, Richard M Nixon, Republican, 60.95
Mecklenburg County, John F Kennedy, Democrat, 55.87
Middlesex County, Richard M Nixon, Republican, 58.7
Montgomery County, Richard M Nixon, Republican, 66.25
Nansemond County, John F Kennedy, Democrat, 74.09
Nelson County, John F Kennedy, Democrat, 65.26
New Kent County, Richard M Nixon, Republican, 51.67
Norfolk County, John F Kennedy, Democrat, 57.08
Northampton County, John F Kennedy, Democrat, 57.98
Northumberland County, Richard M Nixon, Republican, 60.61
Nottoway County, John F Kennedy, Democrat, 57.27
Orange County, Richard M Nixon, Republican, 54.28
Page County, Richard M Nixon, Republican, 62.53
Patrick County, John F Kennedy, Democrat, 54.66
Pittsylvania County, John F Kennedy, Democrat, 51.41
Powhatan County, Richard M Nixon, Republican, 58.66
Prince Edward County, Richard M Nixon, Republican, 53.55
Prince George County, John F Kennedy, Democrat, 56.99
Princess Anne County, John F Kennedy, Democrat, 54.91
Prince William County, John F Kennedy, Democrat, 52.97
Pulaski County, Richard M Nixon, Republican, 58.75
Rappahannock County, John F Kennedy, Democrat, 55.79
Richmond County, Richard M Nixon, Republican, 64.96
Roanoke County, Richard M Nixon, Republican, 67.31
Rockbridge County, Richard M Nixon, Republican, 60.53
Rockingham County, Richard M Nixon, Republican, 70.27
Russell County, John F Kennedy, Democrat, 53.34
Scott County, Richard M Nixon, Republican, 56.45
Shenandoah County, Richard M Nixon, Republican, 66.85
Smyth County, Richard M Nixon, Republican, 59.62
Southampton County, John F Kennedy, Democrat, 67.98
Spotsylvania County, John F Kennedy, Democrat, 52.95
Stafford County, John F Kennedy, Democrat, 50.39
Surry County, John F Kennedy, Democrat, 69.51
Sussex County, John F Kennedy, Democrat, 62.87
Tazewell County, John F Kennedy, Democrat, 58.3
Warren County, John F Kennedy, Democrat, 49.73
Washington County, Richard M Nixon, Republican, 53.59
Westmoreland County, Richard M Nixon, Republican, 53
Wise County, John F Kennedy, Democrat, 59.92
Wythe County, Richard M Nixon, Republican, 57.5
York County, Richard M Nixon, Republican, 54.94
Alexandria City, John F Kennedy, Democrat, 52.08
Bristol City, Richard M Nixon, Republican, 52.38
Buena Vista City, Richard M Nixon, Republican, 53.05
Charlottesville City, Richard M Nixon, Republican, 55.08
Clifton Forge City, Richard M Nixon, Republican, 53.22
Colonial Heights City, Richard M Nixon, Republican, 53.16
Covington City, John F Kennedy, Democrat, 51.92
Danville City, Richard M Nixon, Republican, 63.72
Falls Church City, John F Kennedy, Democrat, 51.47
Fredericksburg City, Richard M Nixon, Republican, 53.72
Galax City, Richard M Nixon, Republican, 62.96
Hampton City, Richard M Nixon, Republican, 51.48
Harrisonburg City, Richard M Nixon, Republican, 72.04
Hopewell City, Richard M Nixon, Republican, 54.24
Lynchburg City, Richard M Nixon, Republican, 59.33
Martinsville City, Richard M Nixon, Republican, 49.16
Newport News City, Richard M Nixon, Republican, 53.56
Norfolk City, John F Kennedy, Democrat, 55.83
Norton City, Richard M Nixon, Republican, 51.02
Petersburg City, John F Kennedy, Democrat, 50.84
Portsmouth City, John F Kennedy, Democrat, 58.32
Radford City, Richard M Nixon, Republican, 57.11
Richmond City, Richard M Nixon, Republican, 60.41
Roanoke City, Richard M Nixon, Republican, 62.28
South Boston City, Richard M Nixon, Republican, 62.7
South Norfolk City, John F Kennedy, Democrat, 61.2
Staunton City, Richard M Nixon, Republican, 69.17
Suffolk City, John F Kennedy, Democrat, 50.07
Virginia Beach City, John F Kennedy, Democrat, 56.05
Waynesboro City, Richard M Nixon, Republican, 69.57
Williamsburg City, Richard M Nixon, Republican, 59.1
Winchester City, Richard M Nixon, Republican, 65.61
