Accomack County, John W Davis, Democrat, 85.92
Albemarle County, John W Davis, Democrat, 76.75
Alleghany County, Calvin Coolidge, Republican, 52.48
Amelia County, John W Davis, Democrat, 68.89
Amherst County, John W Davis, Democrat, 82.29
Appomattox County, John W Davis, Democrat, 88.72
Arlington County, Calvin Coolidge, Republican, 44.74
Augusta County, John W Davis, Democrat, 58.81
Bath County, Calvin Coolidge, Republican, 48.74
Bedford County, John W Davis, Democrat, 79.64
Bland County, Calvin Coolidge, Republican, 49.96
Botetourt County, John W Davis, Democrat, 51.82
Brunswick County, John W Davis, Democrat, 90.33
Buchanan County, Calvin Coolidge, Republican, 54.93
Buckingham County, John W Davis, Democrat, 73.21
Campbell County, John W Davis, Democrat, 74.03
Caroline County, John W Davis, Democrat, 77.56
Carroll County, Calvin Coolidge, Republican, 57.79
Charles City County, John W Davis, Democrat, 60.78
Charlotte County, John W Davis, Democrat, 80.87
Chesterfield County, John W Davis, Democrat, 73.04
Clarke County, John W Davis, Democrat, 88.19
Craig County, John W Davis, Democrat, 61.46
Culpeper County, John W Davis, Democrat, 79.06
Cumberland County, John W Davis, Democrat, 81.72
Dickenson County, John W Davis, Democrat, 53.1
Dinwiddie County, John W Davis, Democrat, 82.53
Elizabeth City County, John W Davis, Democrat, 63.22
Essex County, John W Davis, Democrat, 82.03
Fairfax County, John W Davis, Democrat, 62.2
Fauquier County, John W Davis, Democrat, 74.55
Floyd County, Calvin Coolidge, Republican, 65.04
Fluvanna County, John W Davis, Democrat, 73.26
Franklin County, John W Davis, Democrat, 63.55
Frederick County, John W Davis, Democrat, 71.92
Giles County, John W Davis, Democrat, 59.15
Gloucester County, John W Davis, Democrat, 84.38
Goochland County, John W Davis, Democrat, 65.89
Grayson County, John W Davis, Democrat, 52.37
Greene County, John W Davis, Democrat, 53.27
Greensville County, John W Davis, Democrat, 72.77
Halifax County, John W Davis, Democrat, 84.24
Hanover County, John W Davis, Democrat, 80.88
Henrico County, John W Davis, Democrat, 65.55
Henry County, John W Davis, Democrat, 64.64
Highland County, John W Davis, Democrat, 52.26
Isle of Wight County, John W Davis, Democrat, 76.3
James City County, John W Davis, Democrat, 72.08
King and Queen County, John W Davis, Democrat, 69.47
King George County, John W Davis, Democrat, 55.67
King William County, John W Davis, Democrat, 69.79
Lancaster County, John W Davis, Democrat, 84.43
Lee County, Calvin Coolidge, Republican, 49.66
Loudoun County, John W Davis, Democrat, 88.33
Louisa County, John W Davis, Democrat, 67.59
Lunenburg County, John W Davis, Democrat, 66.22
Madison County, John W Davis, Democrat, 60.66
Mathews County, John W Davis, Democrat, 76.78
Mecklenburg County, John W Davis, Democrat, 84.3
Middlesex County, John W Davis, Democrat, 83.75
Montgomery County, John W Davis, Democrat, 52.65
Nansemond County, John W Davis, Democrat, 82.67
Nelson County, John W Davis, Democrat, 72.82
New Kent County, John W Davis, Democrat, 63.8
Norfolk County, John W Davis, Democrat, 73.05
Northampton County, John W Davis, Democrat, 81.19
Northumberland County, John W Davis, Democrat, 80.8
Nottoway County, John W Davis, Democrat, 72.35
Orange County, John W Davis, Democrat, 78.09
Page County, John W Davis, Democrat, 49.34
Patrick County, John W Davis, Democrat, 58.9
Pittsylvania County, John W Davis, Democrat, 72.08
Powhatan County, John W Davis, Democrat, 67.12
Prince Edward County, John W Davis, Democrat, 82.73
Prince George County, John W Davis, Democrat, 73.23
Prince William County, John W Davis, Democrat, 72.39
Princess Anne County, John W Davis, Democrat, 80.42
Pulaski County, John W Davis, Democrat, 53.84
Rappahannock County, John W Davis, Democrat, 78.22
Richmond County, John W Davis, Democrat, 72.19
Roanoke County, John W Davis, Democrat, 57.04
Rockbridge County, John W Davis, Democrat, 65.38
Rockingham County, John W Davis, Democrat, 49.38
Russell County, John W Davis, Democrat, 57.03
Scott County, Calvin Coolidge, Republican, 54.28
Shenandoah County, Calvin Coolidge, Republican, 48.8
Smyth County, Calvin Coolidge, Republican, 53.5
Southampton County, John W Davis, Democrat, 79.7
Spotsylvania County, John W Davis, Democrat, 60.87
Stafford County, John W Davis, Democrat, 48.44
Surry County, John W Davis, Democrat, 77.29
Sussex County, John W Davis, Democrat, 81.26
Tazewell County, Calvin Coolidge, Republican, 48.04
Warren County, John W Davis, Democrat, 78.72
Warwick County, John W Davis, Democrat, 76.78
Washington County, John W Davis, Democrat, 51.2
Westmoreland County, John W Davis, Democrat, 73.89
Wise County, John W Davis, Democrat, 50.55
Wythe County, Calvin Coolidge, Republican, 50.58
York County, John W Davis, Democrat, 77.22
Alexandria City, John W Davis, Democrat, 57.96
Bristol City, John W Davis, Democrat, 68.79
Buena Vista City, John W Davis, Democrat, 59.95
Charlottesville City, John W Davis, Democrat, 71.64
Clifton Forge City, John W Davis, Democrat, 46.9
Danville City, John W Davis, Democrat, 70.37
Fredericksburg City, John W Davis, Democrat, 68.97
Hampton City, John W Davis, Democrat, 76.59
Harrisonburg City, Calvin Coolidge, Republican, 49.69
Hopewell City, John W Davis, Democrat, 56.42
Lynchburg City, John W Davis, Democrat, 74.08
Newport News City, John W Davis, Democrat, 56.56
Norfolk City, John W Davis, Democrat, 63.87
Petersburg City, John W Davis, Democrat, 83.45
Portsmouth City, John W Davis, Democrat, 64.26
Radford City, John W Davis, Democrat, 48.82
Richmond City, John W Davis, Democrat, 73.79
Roanoke City, John W Davis, Democrat, 61.07
South Norfolk City, John W Davis, Democrat, 64.01
Staunton City, John W Davis, Democrat, 63.52
Suffolk City, John W Davis, Democrat, 73.29
Williamsburg City, John W Davis, Democrat, 85.96
Winchester City, John W Davis, Democrat, 65.18
