Accomack County, George H W Bush, Republican, 60.01
Albemarle County, George H W Bush, Republican, 58.7
Alleghany County, George H W Bush, Republican, 51.87
Amelia County, George H W Bush, Republican, 60.85
Amherst County, George H W Bush, Republican, 64.1
Appomattox County, George H W Bush, Republican, 63.59
Arlington County, Michael Dukakis, Democrat, 53.49
Augusta County, George H W Bush, Republican, 75.14
Bath County, George H W Bush, Republican, 58.74
Bedford County, George H W Bush, Republican, 65.33
Bland County, George H W Bush, Republican, 61.12
Botetourt County, George H W Bush, Republican, 59.3
Brunswick County, Michael Dukakis, Democrat, 52.18
Buchanan County, Michael Dukakis, Democrat, 63.25
Buckingham County, George H W Bush, Republican, 55.49
Campbell County, George H W Bush, Republican, 72.51
Caroline County, Michael Dukakis, Democrat, 50.64
Carroll County, George H W Bush, Republican, 66.17
Charles City County, Michael Dukakis, Democrat, 68.11
Charlotte County, George H W Bush, Republican, 57.44
Chesterfield County, George H W Bush, Republican, 75.34
Clarke County, George H W Bush, Republican, 62.24
Craig County, George H W Bush, Republican, 55.46
Culpeper County, George H W Bush, Republican, 68.57
Cumberland County, George H W Bush, Republican, 62.61
Dickenson County, Michael Dukakis, Democrat, 58.67
Dinwiddie County, George H W Bush, Republican, 54.38
Essex County, George H W Bush, Republican, 60.56
Fairfax County, George H W Bush, Republican, 61.1
Fauquier County, George H W Bush, Republican, 69.86
Floyd County, George H W Bush, Republican, 61.69
Fluvanna County, George H W Bush, Republican, 60.29
Franklin County, George H W Bush, Republican, 55.73
Frederick County, George H W Bush, Republican, 72.33
Giles County, George H W Bush, Republican, 52.5
Gloucester County, George H W Bush, Republican, 68.38
Goochland County, George H W Bush, Republican, 62.61
Grayson County, George H W Bush, Republican, 61.51
Greene County, George H W Bush, Republican, 69.29
Greensville County, Michael Dukakis, Democrat, 55.8
Halifax County, George H W Bush, Republican, 56.02
Hanover County, George H W Bush, Republican, 76.99
Henrico County, George H W Bush, Republican, 69.29
Henry County, George H W Bush, Republican, 58.04
Highland County, George H W Bush, Republican, 62.75
Isle of Wight County, George H W Bush, Republican, 60.07
James City County, George H W Bush, Republican, 64.95
King and Queen County, George H W Bush, Republican, 50.46
King George County, George H W Bush, Republican, 62.4
King William County, George H W Bush, Republican, 62.89
Lancaster County, George H W Bush, Republican, 67.02
Lee County, Michael Dukakis, Democrat, 54.24
Loudoun County, George H W Bush, Republican, 66.26
Louisa County, George H W Bush, Republican, 57.16
Lunenburg County, George H W Bush, Republican, 56.27
Madison County, George H W Bush, Republican, 62.12
Mathews County, George H W Bush, Republican, 67.52
Mecklenburg County, George H W Bush, Republican, 63.45
Middlesex County, George H W Bush, Republican, 63.99
Montgomery County, George H W Bush, Republican, 57.48
Nelson County, George H W Bush, Republican, 51.6
New Kent County, George H W Bush, Republican, 66.54
Northampton County, George H W Bush, Republican, 52
Northumberland County, George H W Bush, Republican, 65.14
Nottoway County, George H W Bush, Republican, 57.38
Orange County, George H W Bush, Republican, 61.57
Page County, George H W Bush, Republican, 66.18
Patrick County, George H W Bush, Republican, 64.06
Pittsylvania County, George H W Bush, Republican, 63.69
Powhatan County, George H W Bush, Republican, 72.91
Prince Edward County, George H W Bush, Republican, 55.02
Prince George County, George H W Bush, Republican, 66.29
Prince William County, George H W Bush, Republican, 66.7
Pulaski County, George H W Bush, Republican, 58.4
Rappahannock County, George H W Bush, Republican, 61.69
Richmond County, George H W Bush, Republican, 66.24
Roanoke County, George H W Bush, Republican, 62.61
Rockbridge County, George H W Bush, Republican, 58.41
Rockingham County, George H W Bush, Republican, 72.59
Russell County, Michael Dukakis, Democrat, 57.86
Scott County, George H W Bush, Republican, 56.76
Shenandoah County, George H W Bush, Republican, 71.74
Smyth County, George H W Bush, Republican, 63.49
Southampton County, George H W Bush, Republican, 52.96
Spotsylvania County, George H W Bush, Republican, 66.16
Stafford County, George H W Bush, Republican, 69.07
Surry County, Michael Dukakis, Democrat, 55.26
Sussex County, Michael Dukakis, Democrat, 50.26
Tazewell County, Michael Dukakis, Democrat, 52.4
Warren County, George H W Bush, Republican, 61.86
Washington County, George H W Bush, Republican, 63.45
Westmoreland County, George H W Bush, Republican, 55.38
Wise County, Michael Dukakis, Democrat, 52.42
Wythe County, George H W Bush, Republican, 63.17
York County, George H W Bush, Republican, 69.96
Alexandria City, Michael Dukakis, Democrat, 53.18
Bedford City, George H W Bush, Republican, 56.79
Bristol City, George H W Bush, Republican, 63.92
Buena Vista City, George H W Bush, Republican, 56.08
Charlottesville City, Michael Dukakis, Democrat, 56.19
Chesapeake City, George H W Bush, Republican, 60.87
Clifton Forge City, Michael Dukakis, Democrat, 55.26
Colonial Heights City, George H W Bush, Republican, 78.57
Covington City, Michael Dukakis, Democrat, 53.76
Danville City, George H W Bush, Republican, 61.49
Emporia City, George H W Bush, Republican, 56.61
Fairfax City, George H W Bush, Republican, 61.27
Falls Church City, Michael Dukakis, Democrat, 49.79
Franklin City, Michael Dukakis, Democrat, 50.78
Fredericksburg City, George H W Bush, Republican, 55.26
Galax City, George H W Bush, Republican, 58.09
Hampton City, George H W Bush, Republican, 54.85
Harrisonburg City, George H W Bush, Republican, 64.86
Hopewell City, George H W Bush, Republican, 63.48
Lexington City, Michael Dukakis, Democrat, 49.26
Lynchburg City, George H W Bush, Republican, 64.04
Manassas City, George H W Bush, Republican, 68.59
Manassas Park City, George H W Bush, Republican, 68.67
Martinsville City, George H W Bush, Republican, 53.64
Newport News City, George H W Bush, Republican, 59.88
Norfolk City, Michael Dukakis, Democrat, 54.84
Norton City, Michael Dukakis, Democrat, 55.87
Petersburg City, Michael Dukakis, Democrat, 64.94
Poquoson City, George H W Bush, Republican, 80.83
Portsmouth City, Michael Dukakis, Democrat, 54.63
Radford City, George H W Bush, Republican, 56.84
Richmond City, Michael Dukakis, Democrat, 56.41
Roanoke City, Michael Dukakis, Democrat, 52.37
Salem City, George H W Bush, Republican, 59.77
South Boston City, George H W Bush, Republican, 64.05
Staunton City, George H W Bush, Republican, 69.29
