Accomack County, Lyndon B Johnson, Democrat, 52.79
Albemarle County, Barry Goldwater, Republican, 51.48
Alleghany County, Lyndon B Johnson, Democrat, 58.85
Amelia County, Barry Goldwater, Republican, 60.21
Amherst County, Lyndon B Johnson, Democrat, 50.46
Appomattox County, Barry Goldwater, Republican, 64.47
Arlington County, Lyndon B Johnson, Democrat, 61.75
Augusta County, Barry Goldwater, Republican, 51.68
Bath County, Lyndon B Johnson, Democrat, 59.88
Bedford County, Lyndon B Johnson, Democrat, 51.5
Bland County, Lyndon B Johnson, Democrat, 54.2
Botetourt County, Lyndon B Johnson, Democrat, 53.11
Brunswick County, Barry Goldwater, Republican, 57.58
Buchanan County, Lyndon B Johnson, Democrat, 66.76
Buckingham County, Barry Goldwater, Republican, 56.6
Campbell County, Barry Goldwater, Republican, 62.47
Caroline County, Lyndon B Johnson, Democrat, 63.64
Carroll County, Barry Goldwater, Republican, 58.85
Charles City County, Lyndon B Johnson, Democrat, 75.89
Charlotte County, Barry Goldwater, Republican, 62.11
Chesterfield County, Barry Goldwater, Republican, 67.59
Clarke County, Lyndon B Johnson, Democrat, 51.5
Craig County, Lyndon B Johnson, Democrat, 61.66
Culpeper County, Lyndon B Johnson, Democrat, 51.46
Cumberland County, Barry Goldwater, Republican, 55.59
Dickenson County, Lyndon B Johnson, Democrat, 61.8
Dinwiddie County, Lyndon B Johnson, Democrat, 50.92
Essex County, Barry Goldwater, Republican, 50.9
Fairfax County, Lyndon B Johnson, Democrat, 61.22
Fauquier County, Lyndon B Johnson, Democrat, 62.46
Floyd County, Barry Goldwater, Republican, 61.51
Fluvanna County, Lyndon B Johnson, Democrat, 54.96
Franklin County, Lyndon B Johnson, Democrat, 60.08
Frederick County, Lyndon B Johnson, Democrat, 52.61
Giles County, Lyndon B Johnson, Democrat, 60.63
Gloucester County, Lyndon B Johnson, Democrat, 54.4
Goochland County, Lyndon B Johnson, Democrat, 53.84
Grayson County, Lyndon B Johnson, Democrat, 50.98
Greene County, Barry Goldwater, Republican, 58.06
Greensville County, Lyndon B Johnson, Democrat, 50.06
Halifax County, Barry Goldwater, Republican, 63.93
Hanover County, Barry Goldwater, Republican, 62.95
Henrico County, Barry Goldwater, Republican, 69.59
Henry County, Lyndon B Johnson, Democrat, 64.7
Highland County, Barry Goldwater, Republican, 51.67
Isle of Wight County, Lyndon B Johnson, Democrat, 60.38
James City County, Lyndon B Johnson, Democrat, 61.43
King and Queen County, Lyndon B Johnson, Democrat, 52.79
King George County, Lyndon B Johnson, Democrat, 62.75
King William County, Barry Goldwater, Republican, 53.92
Lancaster County, Barry Goldwater, Republican, 57.13
Lee County, Lyndon B Johnson, Democrat, 59.71
Loudoun County, Lyndon B Johnson, Democrat, 62.21
Louisa County, Lyndon B Johnson, Democrat, 55.78
Lunenburg County, Barry Goldwater, Republican, 62.04
Madison County, Barry Goldwater, Republican, 55.12
Mathews County, Barry Goldwater, Republican, 50.26
Mecklenburg County, Barry Goldwater, Republican, 60.48
Middlesex County, Barry Goldwater, Republican, 51.08
Montgomery County, Barry Goldwater, Republican, 54.23
Nansemond County, Lyndon B Johnson, Democrat, 64.79
Nelson County, Lyndon B Johnson, Democrat, 64.52
New Kent County, Lyndon B Johnson, Democrat, 50.11
Northampton County, Barry Goldwater, Republican, 51.11
Northumberland County, Barry Goldwater, Republican, 58.85
Nottoway County, Barry Goldwater, Republican, 52.3
Orange County, Barry Goldwater, Republican, 51.34
Page County, Barry Goldwater, Republican, 51.74
Patrick County, Lyndon B Johnson, Democrat, 61.07
Pittsylvania County, Barry Goldwater, Republican, 57.54
Powhatan County, Barry Goldwater, Republican, 54.93
Prince Edward County, Barry Goldwater, Republican, 62.62
Prince George County, Barry Goldwater, Republican, 54.32
Prince William County, Lyndon B Johnson, Democrat, 62.6
Pulaski County, Lyndon B Johnson, Democrat, 53.82
Rappahannock County, Lyndon B Johnson, Democrat, 59.89
Richmond County, Barry Goldwater, Republican, 58.51
Roanoke County, Barry Goldwater, Republican, 54.84
Rockbridge County, Lyndon B Johnson, Democrat, 54.08
Rockingham County, Lyndon B Johnson, Democrat, 50.28
Russell County, Lyndon B Johnson, Democrat, 58.78
Scott County, Lyndon B Johnson, Democrat, 50.92
Shenandoah County, Barry Goldwater, Republican, 55.54
Smyth County, Lyndon B Johnson, Democrat, 51.72
Southampton County, Lyndon B Johnson, Democrat, 62.74
Spotsylvania County, Lyndon B Johnson, Democrat, 62.28
Stafford County, Lyndon B Johnson, Democrat, 56.58
Surry County, Lyndon B Johnson, Democrat, 52.85
Sussex County, Barry Goldwater, Republican, 55.39
Tazewell County, Lyndon B Johnson, Democrat, 64.57
Warren County, Lyndon B Johnson, Democrat, 56.81
Washington County, Lyndon B Johnson, Democrat, 54.95
Westmoreland County, Lyndon B Johnson, Democrat, 52.5
Wise County, Lyndon B Johnson, Democrat, 68.51
Wythe County, Barry Goldwater, Republican, 50.45
York County, Lyndon B Johnson, Democrat, 52.98
Alexandria City, Lyndon B Johnson, Democrat, 65.52
Bristol City, Lyndon B Johnson, Democrat, 65.24
Buena Vista City, Lyndon B Johnson, Democrat, 59.93
Charlottesville City, Lyndon B Johnson, Democrat, 53.64
Chesapeake City, Lyndon B Johnson, Democrat, 51.19
Clifton Forge City, Lyndon B Johnson, Democrat, 59.56
Colonial Heights City, Barry Goldwater, Republican, 66.85
Covington City, Lyndon B Johnson, Democrat, 64.1
Danville City, Barry Goldwater, Republican, 62.09
Fairfax City, Lyndon B Johnson, Democrat, 59.48
Falls Church City, Lyndon B Johnson, Democrat, 63.96
Franklin City, Lyndon B Johnson, Democrat, 61.59
Fredericksburg City, Lyndon B Johnson, Democrat, 61.35
Galax City, Lyndon B Johnson, Democrat, 50.64
Hampton City, Lyndon B Johnson, Democrat, 60.76
Harrisonburg City, Barry Goldwater, Republican, 50.7
Hopewell City, Barry Goldwater, Republican, 55.93
Lynchburg City, Barry Goldwater, Republican, 59.66
Martinsville City, Lyndon B Johnson, Democrat, 61.01
Newport News City, Lyndon B Johnson, Democrat, 59.07
Norfolk City, Lyndon B Johnson, Democrat, 62.83
Norton City, Lyndon B Johnson, Democrat, 68.9
Petersburg City, Lyndon B Johnson, Democrat, 58.15
Portsmouth City, Lyndon B Johnson, Democrat, 65.49
Radford City, Lyndon B Johnson, Democrat, 55.09
Richmond City, Lyndon B Johnson, Democrat, 56.71
Roanoke City, Lyndon B Johnson, Democrat, 53.74
