Accomack County, Dwight D Eisenhower, Republican, 53.99
Albemarle County, Dwight D Eisenhower, Republican, 60.32
Alleghany County, Dwight D Eisenhower, Republican, 52.88
Amelia County, Dwight D Eisenhower, Republican, 53.64
Amherst County, Adlai Stevenson, Democrat, 59.37
Appomattox County, Adlai Stevenson, Democrat, 50.61
Arlington County, Dwight D Eisenhower, Republican, 60.91
Augusta County, Dwight D Eisenhower, Republican, 69.97
Bath County, Dwight D Eisenhower, Republican, 62.65
Bedford County, Dwight D Eisenhower, Republican, 54.47
Bland County, Dwight D Eisenhower, Republican, 57.21
Botetourt County, Dwight D Eisenhower, Republican, 61.5
Brunswick County, Adlai Stevenson, Democrat, 59.52
Buchanan County, Adlai Stevenson, Democrat, 59.93
Buckingham County, Adlai Stevenson, Democrat, 52.79
Campbell County, Adlai Stevenson, Democrat, 52.39
Caroline County, Adlai Stevenson, Democrat, 52.27
Carroll County, Dwight D Eisenhower, Republican, 68.68
Charles City County, Adlai Stevenson, Democrat, 57.88
Charlotte County, Adlai Stevenson, Democrat, 62.79
Chesterfield County, Dwight D Eisenhower, Republican, 55.7
Clarke County, Dwight D Eisenhower, Republican, 52.88
Craig County, Adlai Stevenson, Democrat, 53.55
Culpeper County, Dwight D Eisenhower, Republican, 60.33
Cumberland County, Dwight D Eisenhower, Republican, 54.42
Dickenson County, Adlai Stevenson, Democrat, 52.25
Dinwiddie County, Adlai Stevenson, Democrat, 59.14
Essex County, Dwight D Eisenhower, Republican, 52.45
Fairfax County, Dwight D Eisenhower, Republican, 60.9
Fauquier County, Dwight D Eisenhower, Republican, 56.27
Floyd County, Dwight D Eisenhower, Republican, 71.69
Fluvanna County, Dwight D Eisenhower, Republican, 57.74
Franklin County, Adlai Stevenson, Democrat, 49.98
Frederick County, Dwight D Eisenhower, Republican, 57.53
Giles County, Dwight D Eisenhower, Republican, 52.94
Gloucester County, Dwight D Eisenhower, Republican, 52.44
Goochland County, Adlai Stevenson, Democrat, 52.97
Grayson County, Dwight D Eisenhower, Republican, 61.78
Greene County, Dwight D Eisenhower, Republican, 67.8
Greensville County, Adlai Stevenson, Democrat, 55.39
Halifax County, Adlai Stevenson, Democrat, 58.99
Hanover County, Dwight D Eisenhower, Republican, 59.76
Henrico County, Dwight D Eisenhower, Republican, 66.62
Henry County, Adlai Stevenson, Democrat, 55.05
Highland County, Dwight D Eisenhower, Republican, 62.25
Isle of Wight County, Adlai Stevenson, Democrat, 54.85
James City County, Dwight D Eisenhower, Republican, 60.23
King and Queen County, Dwight D Eisenhower, Republican, 51.23
King George County, Dwight D Eisenhower, Republican, 52.94
King William County, Dwight D Eisenhower, Republican, 57.39
Lancaster County, Dwight D Eisenhower, Republican, 61.49
Lee County, Dwight D Eisenhower, Republican, 51.99
Loudoun County, Dwight D Eisenhower, Republican, 54.86
Louisa County, Dwight D Eisenhower, Republican, 52.26
Lunenburg County, Adlai Stevenson, Democrat, 64.39
Madison County, Dwight D Eisenhower, Republican, 64.96
Mathews County, Dwight D Eisenhower, Republican, 63.87
Mecklenburg County, Adlai Stevenson, Democrat, 56.69
Middlesex County, Dwight D Eisenhower, Republican, 57.74
Montgomery County, Dwight D Eisenhower, Republican, 70.68
Nansemond County, Adlai Stevenson, Democrat, 66.42
Nelson County, Adlai Stevenson, Democrat, 62.03
New Kent County, Dwight D Eisenhower, Republican, 52.78
Norfolk County, Adlai Stevenson, Democrat, 54.6
Northampton County, Dwight D Eisenhower, Republican, 50.12
Northumberland County, Dwight D Eisenhower, Republican, 68.11
Nottoway County, Dwight D Eisenhower, Republican, 51.02
Orange County, Dwight D Eisenhower, Republican, 62.17
Page County, Dwight D Eisenhower, Republican, 64.59
Patrick County, Adlai Stevenson, Democrat, 54.11
Pittsylvania County, Adlai Stevenson, Democrat, 57.62
Powhatan County, Dwight D Eisenhower, Republican, 52.49
Prince Edward County, Dwight D Eisenhower, Republican, 59.34
Prince George County, Adlai Stevenson, Democrat, 52.49
Prince William County, Adlai Stevenson, Democrat, 50.17
Princess Anne County, Dwight D Eisenhower, Republican, 51.04
Pulaski County, Dwight D Eisenhower, Republican, 62.03
Rappahannock County, Dwight D Eisenhower, Republican, 54.35
Richmond County, Dwight D Eisenhower, Republican, 68.91
Roanoke County, Dwight D Eisenhower, Republican, 68.95
Rockbridge County, Dwight D Eisenhower, Republican, 65.9
Rockingham County, Dwight D Eisenhower, Republican, 73.11
Russell County, Adlai Stevenson, Democrat, 52.42
Scott County, Dwight D Eisenhower, Republican, 61.13
Shenandoah County, Dwight D Eisenhower, Republican, 71.12
Smyth County, Dwight D Eisenhower, Republican, 64.98
Southampton County, Adlai Stevenson, Democrat, 62.95
Spotsylvania County, Adlai Stevenson, Democrat, 49.81
Stafford County, Dwight D Eisenhower, Republican, 56.35
Surry County, Adlai Stevenson, Democrat, 56.86
Sussex County, Adlai Stevenson, Democrat, 51.65
Tazewell County, Dwight D Eisenhower, Republican, 55.83
Warren County, Dwight D Eisenhower, Republican, 57.9
Washington County, Dwight D Eisenhower, Republican, 57.74
Westmoreland County, Dwight D Eisenhower, Republican, 59.51
Wise County, Adlai Stevenson, Democrat, 54.61
Wythe County, Dwight D Eisenhower, Republican, 68.24
York County, Dwight D Eisenhower, Republican, 50.53
Alexandria City, Dwight D Eisenhower, Republican, 56.92
Bristol City, Dwight D Eisenhower, Republican, 52.31
Buena Vista City, Dwight D Eisenhower, Republican, 56.62
Charlottesville City, Dwight D Eisenhower, Republican, 60.14
Clifton Forge City, Dwight D Eisenhower, Republican, 53.46
Colonial Heights City, Dwight D Eisenhower, Republican, 51.73
Danville City, Dwight D Eisenhower, Republican, 58.49
Falls Church City, Dwight D Eisenhower, Republican, 59.82
Fredericksburg City, Dwight D Eisenhower, Republican, 61.2
Hampton City, Dwight D Eisenhower, Republican, 52.52
Harrisonburg City, Dwight D Eisenhower, Republican, 77.82
Hopewell City, Adlai Stevenson, Democrat, 50.09
Lynchburg City, Dwight D Eisenhower, Republican, 64.75
Martinsville City, Dwight D Eisenhower, Republican, 55.83
Newport News City, Adlai Stevenson, Democrat, 59.2
Norfolk City, Dwight D Eisenhower, Republican, 54.33
Petersburg City, Dwight D Eisenhower, Republican, 54.49
Portsmouth City, Adlai Stevenson, Democrat, 62.79
Radford City, Dwight D Eisenhower, Republican, 57.73
Richmond City, Dwight D Eisenhower, Republican, 60.28
Roanoke City, Dwight D Eisenhower, Republican, 66
South Norfolk City, Adlai Stevenson, Democrat, 61.51
Staunton City, Dwight D Eisenhower, Republican, 73.07
Suffolk City, Dwight D Eisenhower, Republican, 57.17
Virginia Beach City, Dwight D Eisenhower, Republican, 59.79
Warwick City, Dwight D Eisenhower, Republican, 54
Waynesboro City, Dwight D Eisenhower, Republican, 69.62
Williamsburg City, Dwight D Eisenhower, Republican, 62.12
Winchester City, Dwight D Eisenhower, Republican, 69.2
